Company-Year,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,NetIncomeAvailShareholders,ESG Risk Exposure Score,ESG Risk Managed Score,Sustainalytics ESG Risk Classification
CBOE-2020,Financials,94.199462890625,114.1105041503906,4.28,"3,348,900","109,100","467,000",29.65,8.324,4.818
CBOE-2021,Financials,110.9273147583008,110.1858673095703,4.93,"3,604,800","107,000","527,300",30.175,11.263,3
CBOE-2022,Financials,132.3314514160156,136.5743865966797,2.20,"3,465,300","106,300","234,100",32.096,12.539,3.167
CBOE-2023,Financials,183.729995727539,170.0599975585938,7.16,"3,985,000","105,800","757,500",35.9,14.965,5
CCI-2020,Real Estate,147.8323974609375,169.0032653808594,2.36,"9,461,000","423,000","999,000",27.7,7.728,4.5
CCI-2021,Real Estate,163.3214721679688,150.2431335449219,2.54,"8,258,000","432,000","1,096,000",25.45,10.955,3
CCI-2022,Real Estate,122.8731918334961,105.8726806640625,3.87,"7,449,000","433,000","1,675,000",24.817,12.162,2.667
CCI-2023,Real Estate,102.6900863647461,96.16838836669922,3.46,"6,381,000","434,000","1,502,000",25.737,15.453,1.667
CDNS-2020,Information Technology,136.9900054931641,136.8200073242188,2.16,"2,493,018","273,728","590,644",30.85,13.723,3
CDNS-2021,Information Technology,164.4600067138672,150.0299987792969,2.54,"2,740,675","273,504","695,955",29.421,14.702,3
CDNS-2022,Information Technology,210.0899963378907,234.5200042724609,3.13,"2,745,113","271,198","848,952",28.9,16.155,3
CDNS-2023,Information Technology,311.2799987792969,307.75,3.86,"3,404,271","269,381","1,041,144",30.679,18.592,3
CE-2020,Materials,138.3646087646484,140.7697296142578,16.85,"3,526,000","117,800","1,985,000",52.409,22.371,5.727
CE-2021,Materials,134.4152984619141,111.1443405151367,16.99,"4,189,000","111,224","1,890,000",52.975,22.606,6.5
CE-2022,Materials,104.7881622314453,112.0850601196289,17.48,"5,637,000","108,380","1,894,000",53.2,23.722,5.333
CE-2023,Materials,169.4341888427734,133.6008911132812,18.01,"7,091,000","108,849","1,960,000",51.363,24.407,5
CF-2020,Materials,42.17963027954102,48.15627670288086,1.48,"2,922,000","214,900","317,000",63.508,21.486,8.167
CF-2021,Materials,98.0638656616211,81.89414978027344,4.27,"3,206,000","215,000","917,000",61.621,28.707,7
CF-2022,Materials,70.0738754272461,67.41669464111328,16.45,"5,051,000","203,300","3,346,000",58.525,27.899,6.333
CF-2023,Materials,82.1131820678711,73.62094116210938,7.89,"5,717,000","193,300","1,525,000",57.442,27.787,5.5
CHD-2020,Consumer Staples,83.82141876220703,82.02835083007812,3.18,"3,020,400","246,800","785,900",43.25,18.446,5
CHD-2021,Consumer Staples,96.4948501586914,90.21229553222656,3.38,"3,233,200","244,900","827,500",42.95,20.436,4.833
CHD-2022,Consumer Staples,86.87364196777344,98.81172943115234,1.70,"3,489,900","242,900","413,900",39.65,19.974,3
CHD-2023,Consumer Staples,103.7316665649414,103.4051971435547,3.09,"3,855,400","244,900","755,600",40.887,20.442,4.333
CHTR-2020,Communication Services,617.02001953125,721.4500122070312,15.85,"23,805,000","203,316","3,222,000",28.15,8.101,4.167
CHTR-2021,Communication Services,545.52001953125,468.5299987792969,25.34,"14,050,000","183,669","4,654,000",33.933,11.113,5
CHTR-2022,Communication Services,357.6099853515625,367.3699951171875,31.30,"9,119,000","161,501","5,055,000",42.354,16.717,5
CHTR-2023,Communication Services,290.6300048828125,298.9599914550781,30.54,"11,086,000","149,208","4,557,000",43.3,18.891,5
CL-2020,Consumer Staples,72.12767791748047,74.84884643554688,3.15,"743,000","856,800","2,695,000",40.365,18.407,5
CL-2021,Consumer Staples,70.96791076660156,75.40898132324219,2.56,"609,000","845,000","2,166,000",39.6,18.104,5
CL-2022,Consumer Staples,72.03397369384766,74.3100357055664,2.13,"401,000","836,400","1,785,000",41.767,19.702,5
CL-2023,Consumer Staples,88.5473403930664,95.99073791503906,2.78,"609,000","827,400","2,300,000",43.5,19.703,5
CMCSA-2020,Communication Services,49.20186614990234,52.08507537841797,2.30,"90,323,000","4,580,656","10,534,000",28.3,8.667,3
CMCSA-2021,Communication Services,43.33933258056641,36.50269317626953,3.12,"96,092,000","4,533,230","14,159,000",30.688,10.1,3.5
CMCSA-2022,Communication Services,36.02129364013672,39.78713607788086,1.27,"80,943,000","4,220,119","5,370,000",38.1,13.355,5
CMCSA-2023,Communication Services,42.40029525756836,38.55708312988281,3.87,"82,703,000","3,978,762","15,388,000",41.55,18.408,5
CMG-2020,Consumer Discretionary,28.41640090942383,31.00679969787598,0.25,"2,020,135","1,395,850","355,766",38.477,13.879,5
CMG-2021,Consumer Discretionary,31.64060020446777,26.14520072937012,0.46,"2,297,374","1,406,600","652,984",38.921,14.64,5
CMG-2022,Consumer Discretionary,34.16579818725586,42.77999877929688,0.65,"2,368,023","1,392,550","899,101",39.508,15.572,5
CMG-2023,Consumer Discretionary,58.13539886474609,62.65000152587891,0.89,"3,062,207","1,377,750","1,228,737",39.917,17.481,5
CMI-2020,Industrials,236.639877319336,223.9168243408203,12.07,"8,062,000","148,200","1,789,000",44.345,25.655,3
CMI-2021,Industrials,191.7423706054688,182.0994720458984,14.74,"8,146,000","144,600","2,131,000",44.4,26.068,3
CMI-2022,Industrials,229.3734436035156,236.8909606933593,15.20,"8,975,000","141,500","2,151,000",44.8,25.433,3
CMI-2023,Industrials,291.0554504394531,275.3089904785156,5.19,"8,850,000","141,700","735,000",44.875,25.649,3
CMS-2020,Utilities,54.5385627746582,53.03544616699219,2.65,"5,496,000","285,000","755,000",69.738,41.817,5
CMS-2021,Utilities,64.114013671875,62.31951141357422,4.66,"6,631,000","289,000","1,348,000",61.825,36.939,5
CMS-2022,Utilities,57.89834976196289,55.8681755065918,2.84,"7,015,000","291,300","827,000",58.454,37.328,5
CMS-2023,Utilities,58.83818435668945,58.58452987670898,2.98,"7,544,000","294,400","877,000",59.133,37.586,5
CNP-2020,Utilities,20.68091583251953,22.55588912963867,-1.79,"8,348,000","531,031","-949,000",55.45,23.25,7
CNP-2021,Utilities,28.72182846069336,27.90460395812988,2.35,"9,418,000","593,000","1,391,000",58.2,22.739,7
CNP-2022,Utilities,28.27157211303711,28.15679168701172,1.60,"10,045,000","629,000","1,008,000",51.55,25.99,5
CNP-2023,Utilities,28.09176445007324,30.771240234375,1.37,"9,667,000","631,000","867,000",58.517,30.821,5
COF-2020,Financials,118.7008209228516,144.8119201660156,5.19,"60,204,000","457,800","2,375,000",38.3,11.857,5
COF-2021,Financials,124.6100997924805,99.2670669555664,27.04,"61,029,000","442,500","11,965,000",38.3,15.104,5
COF-2022,Financials,93.17141723632812,106.4953842163086,17.98,"52,582,000","391,800","7,044,000",39.012,16.242,5
COF-2023,Financials,147.6059417724609,137.8670043945312,11.98,"58,089,000","382,400","4,582,000",37.792,16.092,5
COP-2020,Energy,46.42637634277344,53.86697006225586,-2.51,"29,849,000","1,078,030","-2,707,000",70.817,40.262,5.833
COP-2021,Energy,90.61166381835938,82.0320816040039,6.09,"45,406,000","1,324,194","8,060,000",72.333,36.638,7
COP-2022,Energy,94.4112777709961,99.65080261230467,14.62,"48,003,000","1,274,028","18,620,000",68.3,33.402,7
COP-2023,Energy,125.5795593261719,113.6569519042969,9.08,"49,279,000","1,202,757","10,922,000",70.717,36.244,7
CPAY-2020,Financials,268.6300048828125,256.0599975585937,8.38,"3,355,411","84,005","704,216",28.95,9.302,3.5
CPAY-2021,Financials,249.0599975585937,210.1100006103516,10.23,"2,866,580","82,060","839,497",29.95,11.825,3
CPAY-2022,Financials,210.8500061035156,251.0800018310547,12.62,"2,541,493","75,598","954,327",31.267,13.298,3
CPAY-2023,Financials,308.5400085449219,266.4100036621094,13.42,"3,282,359","73,155","981,890",32.85,14.807,3
CPT-2020,Real Estate,98.20367431640624,119.4302520751953,1.24,"3,444,905","99,385","123,650",26.2,7.95,3
CPT-2021,Real Estate,152.1175842285156,123.7642822265625,2.97,"4,197,490","101,999","303,362",25.9,9.5,3
CPT-2022,Real Estate,98.72320556640624,103.526725769043,6.07,"4,986,620","107,605","652,623",27.3,11.437,3
CPT-2023,Real Estate,96.43385314941406,108.0859146118164,3.71,"4,980,757","108,653","402,663",27.937,11.907,3
CTRA-2020,Energy,15.26503849029541,14.26876926422119,0.50,"2,216,000","399,000","201,000",66.1,16.192,9
CTRA-2021,Energy,23.19742202758789,22.68036651611328,2.30,"11,738,000","503,000","1,155,000",65.9,18.124,9
CTRA-2022,Energy,23.08518600463867,24.35794639587402,5.09,"12,659,000","796,000","4,057,000",65.237,18.904,9
CTRA-2023,Energy,27.45288276672364,26.47111129760743,2.14,"13,039,000","756,000","1,620,000",63.967,24.63,7.667
CTSH-2020,Information Technology,74.0518569946289,65.86093139648438,2.58,"10,836,000","540,000","1,392,000",36.3,15.215,4.5
CTSH-2021,Information Technology,86.08234405517578,64.98596954345703,4.06,"11,991,000","527,000","2,137,000",32.213,13.64,3.5
CTSH-2022,Information Technology,59.39743804931641,63.91412734985352,4.42,"12,309,000","518,000","2,290,000",30.85,14.969,3
CTSH-2023,Information Technology,72.69676208496094,67.7099380493164,4.21,"13,227,000","505,000","2,126,000",30.85,16.298,3
CVX-2020,Energy,90.5629425048828,91.79926300048828,-2.96,"131,688,000","1,870,027","-5,543,000",76.45,36.072,8.667
CVX-2021,Energy,148.0988311767578,133.0643463134766,8.15,"139,067,000","1,915,989","15,625,000",73.5,32.826,8.833
CVX-2022,Energy,153.7446136474609,149.5805969238281,18.36,"159,282,000","1,931,486","35,465,000",70.929,30.483,8
CVX-2023,Energy,154.4774780273438,154.8562774658203,11.41,"160,957,000","1,872,737","21,369,000",70.171,32.934,7
D-2020,Utilities,65.37915802001953,63.90065765380859,-0.50,"26,117,000","806,000","-466,000",68.291,35.443,7
D-2021,Utilities,75.68745422363281,71.68855285644531,4.06,"27,308,000","810,000","3,331,000",64.637,36.187,5
D-2022,Utilities,51.60552597045898,48.39327239990234,1.19,"27,659,000","835,000","1,228,000",60.383,34.423,5
D-2023,Utilities,47.90469360351562,48.38818740844727,2.29,"27,529,000","836,400","1,913,000",60.317,33.899,5
DD-2020,Materials,72.37274932861328,72.8076400756836,-4.01,"38,504,000","735,500","-2,951,000",58.15,25.669,7
DD-2021,Materials,70.0094223022461,53.11483764648438,2.17,"26,433,000","542,700","6,467,000",58.075,27.965,6.833
DD-2022,Materials,69.6406021118164,69.66433715820312,11.63,"26,569,000","498,500","5,868,000",56.371,27.467,5
DD-2023,Materials,75.89726257324219,80.11617279052734,0.94,"24,279,000","449,900","423,000",56.483,27.822,5
DLR-2020,Real Estate,123.8510665893555,133.4587097167969,1.01,"17,717,697","260,099","263,342",27.1,12.796,3
DLR-2021,Real Estate,128.5099029541016,118.729362487793,5.95,"18,004,568","282,475","1,681,498",27.392,13.857,3
DLR-2022,Real Estate,92.72447967529295,108.6517791748047,1.18,"17,583,334","286,334","336,960",27.45,14.532,3
DLR-2023,Real Estate,141.6556091308594,150.8113555908203,3.04,"19,117,534","298,603","908,114",27,14.405,3
DOV-2020,Industrials,130.7264709472656,144.1359558105469,4.74,"3,385,773","144,050","683,451",45.95,14.258,6.5
DOV-2021,Industrials,151.5416564941406,117.5550918579102,7.81,"4,189,528","143,923","1,123,818",45.387,17.846,5
DOV-2022,Industrials,148.9078674316406,145.1975708007812,7.47,"4,286,366","142,681","1,065,376",44.6,19.45,5
DOV-2023,Industrials,176.143310546875,179.9433135986328,7.56,"5,106,605","139,848","1,056,828",45.417,19.509,5
DOW-2020,Materials,53.88549423217773,53.92191696166992,1.64,"12,435,000","740,500","1,216,000",47.05,17.623,6.333
DOW-2021,Materials,56.12439727783203,46.00638198852539,8.44,"18,165,000","743,600","6,279,000",46.775,22.528,5
DOW-2022,Materials,50.73861312866211,49.899169921875,6.32,"20,718,000","721,000","4,558,000",49.35,24.53,5
DOW-2023,Materials,56.51155471801758,52.40293502807617,0.82,"18,607,000","705,700","578,000",44.825,22.213,5
DPZ-2020,Consumer Discretionary,353.1850280761719,449.1437377929688,12.47,"-3,300,405","38,868","491,296",35.05,7.95,5
DPZ-2021,Consumer Discretionary,394.1033020019531,378.4293518066406,14.04,"-4,209,536","36,138","510,467",35.15,8.468,5
DPZ-2022,Consumer Discretionary,323.2441711425781,331.5469360351562,12.78,"-4,189,065","35,420","452,263",37.925,7.502,6.667
DPZ-2023,Consumer Discretionary,493.8075866699219,514.85546875,14.80,"-4,070,367","35,082","519,118",39.117,8.484,6.333
DTE-2020,Utilities,101.0783233642578,99.2460708618164,7.09,"12,425,000","193,000","1,366,000",69.6,38.645,7
DTE-2021,Utilities,121.6724700927734,117.4611740112305,4.68,"8,705,000","193,000","905,000",67.833,38.464,6.333
DTE-2022,Utilities,103.799919128418,105.1724548339844,5.53,"10,397,000","195,000","1,080,000",64.921,39.093,5.167
DTE-2023,Utilities,110.083869934082,110.0002822875977,6.77,"11,050,000","206,000","1,394,000",71.283,41.382,5.667
DUK-2020,Utilities,83.77860260009766,86.5708999633789,1.72,"47,964,000","737,000","1,270,000",71.05,37.772,7
DUK-2021,Utilities,100.7515640258789,97.70342254638672,4.94,"49,296,000","769,000","3,802,000",65.713,35.678,5.667
DUK-2022,Utilities,90.4564971923828,85.00670623779297,3.33,"49,322,000","770,000","2,444,000",62.9,35.408,5
DUK-2023,Utilities,94.67635345458984,99.23594665527344,3.54,"49,112,000","771,000","2,735,000",63.067,35.705,5
DVN-2020,Energy,17.63837623596191,23.85400581359864,-7.12,"2,885,000","377,000","-2,680,000",72.375,38.039,7
DVN-2021,Energy,50.69132995605469,48.03813934326172,4.20,"9,262,000","663,000","2,813,000",71.2,38.948,7
DVN-2022,Energy,46.87574005126953,45.58496475219727,9.15,"11,167,000","657,250","6,015,000",72.533,37.377,7
DVN-2023,Energy,49.33404922485352,47.03746032714844,5.86,"12,061,000","639,000","3,747,000",73.758,38.822,7
ED-2020,Utilities,65.7750015258789,63.76203155517578,3.29,"18,847,000","334,800","1,101,000",51.225,24.222,5
ED-2021,Utilities,86.71478271484375,87.93623352050781,3.86,"20,037,000","348,400","1,346,000",49.175,24.35,5
ED-2022,Utilities,90.7153091430664,86.47301483154297,4.68,"20,687,000","354,500","1,660,000",45.3,22.11,5
ED-2023,Utilities,89.20259857177734,88.65987396240234,7.25,"21,158,000","347,700","2,519,000",49.746,26.14,5
EG-2020,Financials,230.0782928466797,235.4032287597656,12.81,"9,726,176","40,000","508,000",38.567,11.606,4.778
EG-2021,Financials,286.4829406738281,267.9527587890625,34.66,"10,140,000","39,300","1,361,000",37.5,19.322,3
EG-2022,Financials,348.1980895996094,334.0180358886719,15.19,"8,441,000","38,800","589,000",38.708,20.493,3
EG-2023,Financials,393.6919860839844,379.0582885742188,60.19,"13,202,000","41,818","2,488,000",38.9,20.781,3
EIX-2020,Utilities,50.20915603637695,50.09049606323242,1.98,"14,048,000","373,000","739,000",59.017,28.816,5.5
EIX-2021,Utilities,62.79589462280273,57.22515869140625,2.00,"15,888,000","380,000","759,000",57.267,28.879,5
EIX-2022,Utilities,66.08711242675781,65.71464538574219,1.61,"15,621,000","381,000","612,000",56.338,28.839,5
EIX-2023,Utilities,69.16812896728516,71.0363540649414,3.12,"15,501,000","383,000","1,197,000",57.046,29.491,5
EMN-2020,Materials,98.33441925048828,104.8679580688477,3.53,"6,023,000","135,500","478,000",53,28.032,5
EMN-2021,Materials,102.5289840698242,82.73123168945312,6.35,"5,704,000","134,900","857,000",53.2,28.812,5
EMN-2022,Materials,79.76527404785156,79.97171020507812,6.42,"5,153,000","123,500","793,000",52.8,28.304,5
EMN-2023,Materials,98.53862762451172,97.17253112792967,7.54,"5,458,000","118,600","894,000",52.908,28.083,5
ENPH-2020,Information Technology,162.1600036621094,183.6300048828125,1.07,"483,993","125,561","133,995",34.114,6.956,6
