,Company,Year,SECTOR,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,profit,ESG_Exposure,ESG_Managed,ESG_Class,BVE,ESG_Index
114,BWA,2022,2,Consumer Discretionary,42.38973617553711,42.36067581176758,4.03,7224000,234122,944000,35.767,22.423,3.0,30.85570770794714,-0.5159597000672136
115,BWA,2023,2,Consumer Discretionary,34.50906753540039,32.14055252075195,2.72,5828000,229784,625000,35.254,22.783,3.0,25.362949552623334,-0.5172780358369282
116,BXP,2020,9,Real Estate,84.5732650756836,96.62525177001952,5.54,5996083,155432,861479,27.6,13.398,3.0,38.57688892892069,-1.5851249109742072
117,BXP,2021,9,Real Estate,111.4305572509766,77.5540771484375,3.18,5834020,156121,496223,27.35,13.657,3.0,37.36857949923457,-1.579831768643102
118,BXP,2022,9,Real Estate,49.024658203125,53.14792251586914,5.42,6132919,156724,848056,27.15,14.123,3.0,39.13197085321967,-1.5572139485052279
119,BXP,2023,9,Real Estate,63.23258590698242,60.57391357421875,1.21,5876697,156864,190215,27.175,14.673,3.0,37.463643665850675,-1.5168354339801657
120,CB,2020,4,Financials,149.1248931884766,150.7183837890625,7.84,59441000,450733,3533000,38.129,14.116,5.0,131.8762992725183,-0.27674520316398066
121,CB,2021,4,Financials,205.5526733398437,189.6276245117188,20.02,59714000,426573,8525000,38.1,14.392,5.0,139.98541867394326,-0.2586602385388908
122,CB,2022,4,Financials,189.6331939697266,188.8876953125,12.81,50519000,414595,5246000,38.671,14.735,5.0,121.85144538646149,-0.20436558251161738
123,CB,2023,4,Financials,257.3806457519531,254.1981048583984,21.97,59507000,410845,9028000,39.012,15.211,5.0,144.84051162847302,-0.15267957589683856
124,CCI,2020,9,Real Estate,147.8323974609375,169.0032653808594,2.36,9461000,423000,999000,27.7,7.728,4.5,22.36643026004728,-1.4535336951916153
125,CCI,2021,9,Real Estate,163.3214721679688,150.2431335449219,2.54,8258000,432000,1096000,25.45,10.955,3.0,19.11574074074074,-1.8713557942581325
126,CCI,2022,9,Real Estate,122.8731918334961,105.8726806640625,3.87,7449000,433000,1675000,24.817,12.162,2.667,17.20323325635104,-1.9362608828026024
127,CCI,2023,9,Real Estate,102.6900863647461,96.16838836669922,3.46,6381000,434000,1502000,25.737,15.453,1.667,14.702764976958525,-2.007004850207134
128,CDNS,2020,7,Information Technology,136.9900054931641,136.8200073242188,2.16,2493018,273728,590644,30.85,13.723,3.0,9.10764700724807,-1.3916824121291116
129,CDNS,2021,7,Information Technology,164.4600067138672,150.0299987792969,2.54,2740675,273504,695955,29.421,14.702,3.0,10.020602989352989,-1.3970458160929298
130,CDNS,2022,7,Information Technology,210.0899963378907,234.5200042724609,3.13,2745113,271198,848952,28.9,16.155,3.0,10.122172729887389,-1.3211445668490545
131,CDNS,2023,7,Information Technology,311.2799987792969,307.75,3.86,3404271,269381,1041144,30.679,18.592,3.0,12.6373834828737,-1.0547867666189512
132,CDW,2020,7,Information Technology,159.4614868164062,168.4525299072266,5.53,1297100,142600,788500,16.6,5.544,3.0,9.096072931276296,-2.719609359978472
133,CDW,2021,7,Information Technology,173.7485198974609,153.4853973388672,7.14,705700,138500,988600,16.633,6.36,2.333,5.095306859205776,-2.8951924883663223
134,CDW,2022,7,Information Technology,191.5565643310547,180.8845825195312,8.24,1603300,135200,1114500,16.7,7.545,1.0,11.858727810650887,-3.2777052824957766
135,CDW,2023,7,Information Technology,254.4698944091797,223.2526245117188,8.2,2042500,134600,1104300,16.617,7.463,1.0,15.174591381872213,-3.2878806286938858
136,CE,2020,8,Materials,138.3646087646484,140.7697296142578,16.85,3526000,117800,1985000,52.409,22.371,5.727,29.932088285229202,1.314592726014129
137,CE,2021,8,Materials,134.4152984619141,111.1443405151367,16.99,4189000,111224,1890000,52.975,22.606,6.5,37.66273466158383,1.6336196158781437
138,CE,2022,8,Materials,104.7881622314453,112.0850601196289,17.48,5637000,108380,1894000,53.2,23.722,5.333,52.01144122531832,1.3130418945215643
139,CE,2023,8,Materials,169.4341888427734,133.6008911132812,18.01,7091000,108849,1960000,51.363,24.407,5.0,65.14529302060653,1.1479470004086194
140,CF,2020,8,Materials,42.17963027954102,48.15627670288086,1.48,2922000,214900,317000,63.508,21.486,8.167,13.597021870637505,2.6941890877504426
141,CF,2021,8,Materials,98.0638656616211,81.89414978027344,4.27,3206000,215000,917000,61.621,28.707,7.0,14.911627906976744,2.6965613042347867
